trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
72,False,"{'a': 0.35, 'e': 0.32500000000000046}",20,15,9.391428485574034,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.35, 'e': 0.30650000000000044}",20,12,15.14590262453706,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.35, 'e': 0.28775000000000045}",20,0,19.31476194255268,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.35, 'e': 0.26875000000000043}",30,13,-5.710621495893427,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
76,False,"{'a': 0.35, 'e': 0.24950000000000044}",20,8,19.36365303807642,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.35, 'e': 0.23000000000000045}",20,2,-1.7666018622041368,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
78,False,"{'a': 0.35, 'e': 0.21025000000000046}",20,0,-17.90102229462213,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
79,False,"{'a': 0.35, 'e': 0.19025000000000047}",20,0,20.769400172794125,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1,True,"{'a': 0.35, 'e': 0}",20,12,15.767781192943735,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.35, 'e': 0}",20,0,31.841149731349716,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.35, 'e': 0}",25,14,18.82574817480578,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.35, 'e': 0}",30,16,24.28909457418909,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.35, 'e': 0}",30,4,44.82702747441221,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.35, 'e': 0}",30,22,15.565578080635603,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.35, 'e': 0}",25,0,39.01727556367237,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.35, 'e': 0}",20,4,26.620016782444807,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.35, 'e': 0}",30,17,23.93579928060489,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.35, 'e': 0}",20,9,21.219921105221523,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0.35, 'e': 0}",25,11,23.55707146365102,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0.35, 'e': 0}",25,7,33.9242351858057,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0.35, 'e': 0}",20,6,28.289008138106134,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0.35, 'e': 0}",20,15,7.865698699267141,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0.35, 'e': 0}",25,15,18.273381133055643,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0.35, 'e': 0}",20,0,31.334856755122235,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,True,"{'a': 0.35, 'e': 0}",20,12,16.518054549402876,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0.35, 'e': 0}",35,22,25.855646344240522,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0.35, 'e': 0}",20,10,20.655156831324003,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0.35, 'e': 0}",30,10,37.70455786040353,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
